Original_Infix,Perturbed_Infix,Original_Prefix,Perturbed_Prefix,Original_Postfix,Perturbed_Postfix,Category,Original_Result,Perturbed_Result,Is_Equivalent_Infix,Is_Equivalent_Prefix,Is_Equivalent_Postfix,Is_Equivalent_Infix_Prefix,Is_Equivalent_Infix_Postfix,Is_Equivalent_Prefix_Postfix
( 473.35 ^ ( 70 - 679 ) * 362.70 ),( 473.35 ^ ( 70 - 679 ) * 362.70 ),* ^ 473.35 - 70 679 362.70,* ^ 473.35 - 70 679 362.70,473.35 70 679 - ^ 362.70 *,473.35 70 679 - ^ 362.70 *,Simple,0.0,0.0,True,True,True,True,True,True
( ( 12 - 22 ) - 657 ),( ( 12 - 22 ) - 657 ),- - 12 22 657,- - 12 22 657,12 22 - 657 -,12 22 - 657 -,Simple,-667.0,-667.0,True,True,True,True,True,True
( 1 ^ 789 + 127.54 ) * ( 987 / 178.84 * 177.92 ),( 1 ^ 789 + 127.54 ) * ( 987 / 178.84 * 177.92 ),* + ^ 1 789 127.54 / 987 * 178.84 177.92,* + ^ 1 789 127.54 / 987 * 178.84 177.92,1 789 ^ 127.54 + 987 178.84 / 177.92 * *,1 789 ^ 127.54 + 987 178.84 / 177.92 * *,Simple,126216.33,126216.33,True,True,True,True,True,True
214 - 230 * 103.81 ^ 32,214 - 230 * 103.81 ^ 32,- 214 * 230 ^ 103.81 32,- 214 * 230 ^ 103.81 32,214 230 103.81 32 ^ * -,214 230 103.81 32 ^ * -,Simple,-7.609952559465065e+66,-7.609952559465065e+66,True,True,True,True,True,True
( 533 - ( 258.28 + ( 740 - 869 / 724 ) ) ),( 533 - ( 258.28 + ( 740 - 869 / 724 ) ) ),- 533 + 258.28 - 740 / 869 724,- 533 + 258.28 - 740 / 869 724,533 258.28 740 869 724 / - + -,533 258.28 740 869 724 / - + -,Simple,-464.08,-464.08,True,True,True,True,True,True
101 - ( 373 * 436 ),101 - ( 373 * 436 ),- 101 * 373 436,- 101 * 373 436,101 373 436 * -,101 373 436 * -,Simple,-162527.0,-162527.0,True,True,True,True,True,True
310.36 / 966 / 457.43,310.36 / 966 / 457.43,/ 310.36 / 966 457.43,/ 310.36 / 966 457.43,310.36 966 / 457.43 /,310.36 966 / 457.43 /,Simple,0.0,0.0,True,True,True,True,True,True
369 ^ ( 500 / 583.44 ) * 536.99,369 ^ ( 500 / 583.44 ) * 536.99,* ^ 369 / 500 583.44 536.99,* ^ 369 / 500 583.44 536.99,369 500 583.44 / ^ 536.99 *,369 500 583.44 / ^ 536.99 *,Simple,85088.77,85088.77,True,True,True,True,True,True
( 560 * ( 124.26 + 244 ) ),( 560 + ( 124.26 + 244 ) ),* 560 + 124.26 244,+ 560 + 124.26 244,560 124.26 244 + *,560 124.26 244 + +,Simple,206225.6,928.26,False,False,False,False,False,False
( 782 - 442 * ( 836.92 * 938 / 859 - 14.4 ) ),( 782 - 442 * ( 836.92 * 938 / 859 - 14.4 ) ),- 782 * 442 - * 836.92 / 938 859 14.4,- 782 * 442 - * 836.92 / 938 859 14.4,782 442 836.92 938 * 859 / 14.4 - * -,782 442 836.92 938 * 859 / 14.4 - * -,Simple,-396792.3,-396792.3,True,True,True,True,True,True
( ( 953 / 764.85 ) ^ 102 ),( ( 953 / 764.85 ) ^ 102 ),^ / 953 764.85 102,^ / 953 764.85 102,953 764.85 / 102 ^,953 764.85 / 102 ^,Simple,5529631885.58,5529631885.58,True,True,True,True,True,True
( 316.84 + ( 556 / 962 ) - 791 ) - 891,( 316.84 + ( 556 / 962 ) - 791 ) - 891,- + 316.84 - / 556 962 791 891,- + 316.84 - / 556 962 791 891,316.84 556 962 / + 791 - 891 -,316.84 556 962 / + 791 - 891 -,Simple,-1364.58,-1364.58,True,True,True,True,True,True
( 627 * ( ( 226 - 801 ) - ( 803 * 784 ) ) ),( 627 * ( ( 226 - 801 ) - ( 803 * 784 ) ) ),* 627 - - 226 801 * 803 784,* 627 - - 226 801 * 803 784,627 226 801 - 803 784 * - *,627 226 801 - 803 784 * - *,Simple,-395089629.0,-395089629.0,True,True,True,True,True,True
( 399 + 208 + 631 ) / 2,( 399 + 208 + 631 ) / 2,/ + 399 + 208 631 2,/ + 399 + 208 631 2,399 208 + 631 + 2 /,399 208 + 631 + 2 /,Simple,619.0,619.0,True,True,True,True,True,True
( 615.66 - 646 ) - 379.23 / 939.62 / 840.83,( 615.66 - 646 ) - 379.23 / 939.62 / 840.83,- - 615.66 646 / 379.23 / 939.62 840.83,- - 615.66 646 / 379.23 / 939.62 840.83,615.66 646 - 379.23 939.62 / 840.83 / -,615.66 646 - 379.23 939.62 / 840.83 / -,Simple,-30.34,-30.34,True,True,True,True,True,True
( ( 195 - 914 + 974.88 ^ ( 807 - 901.24 ) ) + 708 ),( ( 195 * 914 + 974.88 ^ ( 807 - 901.24 ) ) + 708 ),+ - 195 + 914 ^ 974.88 - 807 901.24 708,+ + * 195 914 ^ 974.88 - 807 901.24 708,195 914 - 974.88 807 901.24 - ^ + 708 +,195 914 * 974.88 807 901.24 - ^ + 708 +,Simple,-11.0,178938.0,False,False,False,False,False,False
( ( 341 - ( 578 - 866 ) ^ 5 ) / 639.37 / 921.49 ),( ( 341 - ( 578 - 866 ) ^ 5 ) / 639.37 * 921.49 ),/ - 341 ^ - 578 866 5 / 639.37 921.49,/ - 341 ^ - 578 866 5 * 639.37 921.49,341 578 866 - 5 ^ - 639.37 / 921.49 /,341 578 866 - 5 ^ - 639.37 / 921.49 *,Simple,3362943.4,2855622601928.44,False,False,False,False,False,False
( 467 ^ 76 ) - 369.12 - 953,( 467 ^ 76 ) - 369.12 - 953,- ^ 467 76 - 369.12 953,- ^ 467 76 - 369.12 953,467 76 ^ 369.12 - 953 -,467 76 ^ 369.12 - 953 -,Simple,7.380451370370843e+202,7.380451370370843e+202,True,True,True,True,True,True
( 723 / ( 939 * 424 ) ),( 723 / ( 939 * 424 ) ),/ 723 * 939 424,/ 723 * 939 424,723 939 424 * /,723 939 424 * /,Simple,0.0,0.0,True,True,True,True,True,True
( 630 + ( ( 694.84 + 263 ) + 122 / ( 234 + 380 ) ) ),( 630 + ( ( 694.84 + 263 ) + 122 / ( 234 + 380 ) ) ),+ 630 + + 694.84 263 / 122 + 234 380,+ 630 + + 694.84 263 / 122 + 234 380,630 694.84 263 + 122 234 380 + / + +,630 694.84 263 + 122 234 380 + / + +,Simple,1588.04,1588.04,True,True,True,True,True,True
