SubTask,ExampleType,ModelFamily,ModelName,CodeType,Accuracy
SpaceComplexity,ZeroShot,baichuan-inc,Baichuan-7B,python,1
SpaceComplexity,ZeroShot,baichuan-inc,Baichuan-7B,c++,0
SpaceComplexity,FewShot,THUDM,glm-4-9b-chat,python,62
SpaceComplexity,OneShot,THUDM,glm-4-9b-chat,python,61
SpaceComplexity,FewShot,THUDM,glm-4-9b-chat,c++,69
SpaceComplexity,ZeroShot,THUDM,glm-4-9b-chat,c++,72
SpaceComplexity,ZeroShot,THUDM,glm-4-9b-chat,python,69
SpaceComplexity,OneShot,THUDM,glm-4-9b-chat,c++,69
SpaceComplexity,ZeroShot,01-ai,Yi-1.5-9B-Chat,python,65
SpaceComplexity,ZeroShot,01-ai,Yi-1.5-9B-Chat,c++,72
SpaceComplexity,ZeroShot,mistralai,Mistral-7B-Instruct-v0.3,python,55
SpaceComplexity,ZeroShot,mistralai,Mistral-7B-Instruct-v0.3,c++,63
SpaceComplexity,ZeroShot,openai,gpt-4-turbo,c++,75
SpaceComplexity,ZeroShot,openai,gpt-4-turbo,python,70
SpaceComplexity,ZeroShot,deepseek,deepseek-v3,c++,77
SpaceComplexity,ZeroShot,deepseek,deepseek-v3,python,74
SpaceComplexity,FewShot,meta-llama,Llama-3.2-1B-Instruct,c++,56
SpaceComplexity,FewShot,meta-llama,Llama-3.2-1B-Instruct,python,51
SpaceComplexity,OneShot,meta-llama,Llama-3.2-1B-Instruct,c++,56
SpaceComplexity,OneShot,meta-llama,Llama-3.2-1B-Instruct,python,51
SpaceComplexity,ZeroShot,meta-llama,Llama-3.2-1B-Instruct,python,27
SpaceComplexity,ZeroShot,meta-llama,Llama-3.2-1B-Instruct,c++,43
SpaceComplexity,ZeroShot,meta-llama,Llama-3.1-70B-Instruct,python,69
SpaceComplexity,ZeroShot,meta-llama,Llama-3.1-70B-Instruct,c++,71
SpaceComplexity,ZeroShot,meta-llama,Meta-Llama-3.1-8B-Instruct,c++,65
SpaceComplexity,OneShot,meta-llama,Meta-Llama-3.1-8B-Instruct,python,58
SpaceComplexity,ZeroShot,meta-llama,Meta-Llama-3.1-8B-Instruct,python,62
SpaceComplexity,OneShot,meta-llama,Meta-Llama-3.1-8B-Instruct,c++,60
SpaceComplexity,FewShot,meta-llama,Meta-Llama-3.1-8B-Instruct,python,57
SpaceComplexity,FewShot,meta-llama,Meta-Llama-3.1-8B-Instruct,c++,61
SpaceComplexity,ZeroShot,meta-llama,Llama-3.1-405B-Instruct,python,71
SpaceComplexity,ZeroShot,meta-llama,Llama-3.1-405B-Instruct,c++,73
SpaceComplexity,FewShot,meta-llama,Llama-3.2-3B-Instruct,c++,62
SpaceComplexity,FewShot,meta-llama,Llama-3.2-3B-Instruct,python,44
SpaceComplexity,OneShot,meta-llama,Llama-3.2-3B-Instruct,python,57
SpaceComplexity,OneShot,meta-llama,Llama-3.2-3B-Instruct,c++,62
SpaceComplexity,ZeroShot,meta-llama,Llama-3.2-3B-Instruct,c++,66
SpaceComplexity,ZeroShot,meta-llama,Llama-3.2-3B-Instruct,python,54
SpaceComplexity,ZeroShot,internlm,internlm2_5-7b-chat,c++,70
SpaceComplexity,ZeroShot,internlm,internlm2_5-7b-chat,python,66
SpaceComplexity,ZeroShot,openai,gpt-3.5-turbo,c++,69
SpaceComplexity,ZeroShot,openai,gpt-3.5-turbo,python,68
SpaceComplexity,ZeroShot,microsoft,Phi-3.5-mini-instruct,c++,64
SpaceComplexity,ZeroShot,microsoft,Phi-3.5-mini-instruct,python,65
SpaceComplexity,ZeroShot,Qwen,Qwen2.5-32B-Instruct,c++,19
SpaceComplexity,ZeroShot,Qwen,Qwen2.5-32B-Instruct,python,14
SpaceComplexity,OneShot,Qwen,Qwen2.5-3B-Instruct,c++,73
SpaceComplexity,ZeroShot,Qwen,Qwen2.5-3B-Instruct,python,62
SpaceComplexity,ZeroShot,Qwen,Qwen2.5-3B-Instruct,c++,65
SpaceComplexity,OneShot,Qwen,Qwen2.5-3B-Instruct,python,57
SpaceComplexity,FewShot,Qwen,Qwen2.5-3B-Instruct,python,54
SpaceComplexity,FewShot,Qwen,Qwen2.5-3B-Instruct,c++,67
SpaceComplexity,OneShot,Qwen,Qwen2.5-1.5B-Instruct,python,52
SpaceComplexity,FewShot,Qwen,Qwen2.5-1.5B-Instruct,python,54
SpaceComplexity,FewShot,Qwen,Qwen2.5-1.5B-Instruct,c++,57
SpaceComplexity,ZeroShot,Qwen,Qwen2.5-1.5B-Instruct,python,55
SpaceComplexity,ZeroShot,Qwen,Qwen2.5-1.5B-Instruct,c++,58
SpaceComplexity,OneShot,Qwen,Qwen2.5-1.5B-Instruct,c++,59
SpaceComplexity,ZeroShot,Qwen,Qwen2.5-72B-Instruct,c++,72
SpaceComplexity,ZeroShot,Qwen,Qwen2.5-72B-Instruct,python,68
SpaceComplexity,OneShot,Qwen,Qwen2.5-7B-Instruct,c++,65
SpaceComplexity,ZeroShot,Qwen,Qwen2.5-7B-Instruct,c++,74
SpaceComplexity,FewShot,Qwen,Qwen2.5-7B-Instruct,c++,67
SpaceComplexity,ZeroShot,Qwen,Qwen2.5-7B-Instruct,python,69
SpaceComplexity,FewShot,Qwen,Qwen2.5-7B-Instruct,python,59
SpaceComplexity,OneShot,Qwen,Qwen2.5-7B-Instruct,python,59
SpaceComplexity,ZeroShot,Qwen,Qwen2.5-0.5B-Instruct,c++,3
SpaceComplexity,FewShot,Qwen,Qwen2.5-0.5B-Instruct,python,45
SpaceComplexity,OneShot,Qwen,Qwen2.5-0.5B-Instruct,python,48
SpaceComplexity,OneShot,Qwen,Qwen2.5-0.5B-Instruct,python,2
SpaceComplexity,ZeroShot,Qwen,Qwen2.5-0.5B-Instruct,python,4
SpaceComplexity,OneShot,Qwen,Qwen2.5-0.5B-Instruct,c++,44
SpaceComplexity,FewShot,Qwen,Qwen2.5-0.5B-Instruct,c++,39
SpaceComplexity,OneShot,Qwen,Qwen2.5-0.5B-Instruct,c++,3
TimeComplexity,ZeroShot,baichuan-inc,Baichuan-7B,python,0
TimeComplexity,ZeroShot,baichuan-inc,Baichuan-7B,c++,0
TimeComplexity,FewShot,THUDM,glm-4-9b-chat,c++,67
TimeComplexity,FewShot,THUDM,glm-4-9b-chat,python,57
TimeComplexity,ZeroShot,THUDM,glm-4-9b-chat,c++,65
TimeComplexity,OneShot,THUDM,glm-4-9b-chat,python,60
TimeComplexity,OneShot,THUDM,glm-4-9b-chat,c++,67
TimeComplexity,ZeroShot,THUDM,glm-4-9b-chat,python,60
TimeComplexity,ZeroShot,01-ai,Yi-1.5-9B-Chat,python,61
TimeComplexity,ZeroShot,01-ai,Yi-1.5-9B-Chat,c++,69
TimeComplexity,ZeroShot,mistralai,Mistral-7B-Instruct-v0.3,c++,60
TimeComplexity,ZeroShot,mistralai,Mistral-7B-Instruct-v0.3,python,57
TimeComplexity,ZeroShot,openai,gpt-4-turbo,c++,74
TimeComplexity,ZeroShot,openai,gpt-4-turbo,python,64
TimeComplexity,ZeroShot,deepseek,deepseek-v3,python,66
TimeComplexity,ZeroShot,deepseek,deepseek-v3,c++,73
TimeComplexity,OneShot,meta-llama,Llama-3.2-1B-Instruct,python,46
TimeComplexity,ZeroShot,meta-llama,Llama-3.2-1B-Instruct,c++,58
TimeComplexity,ZeroShot,meta-llama,Llama-3.2-1B-Instruct,python,49
TimeComplexity,OneShot,meta-llama,Llama-3.2-1B-Instruct,c++,49
TimeComplexity,FewShot,meta-llama,Llama-3.2-1B-Instruct,python,48
TimeComplexity,FewShot,meta-llama,Llama-3.2-1B-Instruct,c++,47
TimeComplexity,ZeroShot,meta-llama,Llama-3.1-70B-Instruct,c++,71
TimeComplexity,ZeroShot,meta-llama,Llama-3.1-70B-Instruct,python,64
TimeComplexity,OneShot,meta-llama,Meta-Llama-3.1-8B-Instruct,python,54
TimeComplexity,FewShot,meta-llama,Meta-Llama-3.1-8B-Instruct,c++,26
TimeComplexity,FewShot,meta-llama,Meta-Llama-3.1-8B-Instruct,python,13
TimeComplexity,ZeroShot,meta-llama,Meta-Llama-3.1-8B-Instruct,python,58
TimeComplexity,ZeroShot,meta-llama,Meta-Llama-3.1-8B-Instruct,c++,62
TimeComplexity,OneShot,meta-llama,Meta-Llama-3.1-8B-Instruct,c++,61
TimeComplexity,ZeroShot,meta-llama,Llama-3.1-405B-Instruct,python,65
TimeComplexity,ZeroShot,meta-llama,Llama-3.1-405B-Instruct,c++,73
TimeComplexity,ZeroShot,meta-llama,Llama-3.2-3B-Instruct,c++,64
TimeComplexity,ZeroShot,meta-llama,Llama-3.2-3B-Instruct,python,58
TimeComplexity,FewShot,meta-llama,Llama-3.2-3B-Instruct,c++,61
TimeComplexity,FewShot,meta-llama,Llama-3.2-3B-Instruct,python,52
TimeComplexity,OneShot,meta-llama,Llama-3.2-3B-Instruct,c++,62
TimeComplexity,OneShot,meta-llama,Llama-3.2-3B-Instruct,python,52
TimeComplexity,ZeroShot,internlm,internlm2_5-7b-chat,c++,68
TimeComplexity,ZeroShot,internlm,internlm2_5-7b-chat,python,59
TimeComplexity,ZeroShot,openai,gpt-3.5-turbo,c++,67
TimeComplexity,ZeroShot,openai,gpt-3.5-turbo,python,62
TimeComplexity,ZeroShot,microsoft,Phi-3.5-mini-instruct,c++,72
TimeComplexity,ZeroShot,microsoft,Phi-3.5-mini-instruct,python,60
TimeComplexity,ZeroShot,Qwen,Qwen2.5-32B-Instruct,python,13
TimeComplexity,ZeroShot,Qwen,Qwen2.5-32B-Instruct,c++,9
TimeComplexity,FewShot,Qwen,Qwen2.5-3B-Instruct,python,54
TimeComplexity,FewShot,Qwen,Qwen2.5-3B-Instruct,c++,60
TimeComplexity,ZeroShot,Qwen,Qwen2.5-3B-Instruct,c++,55
TimeComplexity,OneShot,Qwen,Qwen2.5-3B-Instruct,c++,50
TimeComplexity,ZeroShot,Qwen,Qwen2.5-3B-Instruct,python,59
TimeComplexity,OneShot,Qwen,Qwen2.5-3B-Instruct,python,53
TimeComplexity,OneShot,Qwen,Qwen2.5-1.5B-Instruct,python,58
TimeComplexity,ZeroShot,Qwen,Qwen2.5-1.5B-Instruct,c++,61
TimeComplexity,OneShot,Qwen,Qwen2.5-1.5B-Instruct,c++,65
TimeComplexity,FewShot,Qwen,Qwen2.5-1.5B-Instruct,python,60
TimeComplexity,FewShot,Qwen,Qwen2.5-1.5B-Instruct,c++,67
TimeComplexity,ZeroShot,Qwen,Qwen2.5-1.5B-Instruct,python,53
TimeComplexity,ZeroShot,Qwen,Qwen2.5-72B-Instruct,c++,72
TimeComplexity,ZeroShot,Qwen,Qwen2.5-72B-Instruct,python,65
TimeComplexity,FewShot,Qwen,Qwen2.5-7B-Instruct,c++,70
TimeComplexity,OneShot,Qwen,Qwen2.5-7B-Instruct,python,62
TimeComplexity,OneShot,Qwen,Qwen2.5-7B-Instruct,c++,68
TimeComplexity,ZeroShot,Qwen,Qwen2.5-7B-Instruct,python,64
TimeComplexity,ZeroShot,Qwen,Qwen2.5-7B-Instruct,c++,70
TimeComplexity,FewShot,Qwen,Qwen2.5-7B-Instruct,python,61
TimeComplexity,OneShot,Qwen,Qwen2.5-0.5B-Instruct,c++,46
TimeComplexity,OneShot,Qwen,Qwen2.5-0.5B-Instruct,python,40
TimeComplexity,FewShot,Qwen,Qwen2.5-0.5B-Instruct,c++,39
TimeComplexity,ZeroShot,Qwen,Qwen2.5-0.5B-Instruct,c++,1
TimeComplexity,FewShot,Qwen,Qwen2.5-0.5B-Instruct,python,38
TimeComplexity,OneShot,Qwen,Qwen2.5-0.5B-Instruct,python,5
TimeComplexity,ZeroShot,Qwen,Qwen2.5-0.5B-Instruct,python,2
TimeComplexity,OneShot,Qwen,Qwen2.5-0.5B-Instruct,c++,3
