SubTask,ExampleType,ModelFamily,ModelName,Mode,Accuracy
disordered_section,ZeroShot,baichuan-inc,Baichuan-7B,dev,0
disordered_section,ZeroShot,baichuan-inc,Baichuan-7B,test,0
disordered_section,ZeroShot,openai,gpt-4-turbo,dev,16.47
disordered_section,ZeroShot,openai,gpt-4-turbo,test,18.1
disordered_section,ZeroShot,THUDM,glm-4-9b-chat,dev,32.94
disordered_section,ZeroShot,THUDM,glm-4-9b-chat,test,40.49
disordered_section,ZeroShot,01-ai,Yi-1.5-9B-Chat,dev,1.76
disordered_section,ZeroShot,01-ai,Yi-1.5-9B-Chat,test,5.83
disordered_section,ZeroShot,mistralai,Mistral-7B-Instruct-v0.3,dev,12.35
disordered_section,ZeroShot,mistralai,Mistral-7B-Instruct-v0.3,test,9.82
disordered_section,ZeroShot,deepseek,deepseek-v3,test,7.67
disordered_section,ZeroShot,deepseek,deepseek-v3,dev,5.88
disordered_section,ZeroShot,meta-llama,Llama-3.2-1B-Instruct,dev,4.71
disordered_section,ZeroShot,meta-llama,Llama-3.2-1B-Instruct,test,4.91
disordered_section,ZeroShot,meta-llama,Meta-Llama-3.1-8B-Instruct,dev,24.71
disordered_section,ZeroShot,meta-llama,Meta-Llama-3.1-8B-Instruct,test,26.69
disordered_section,ZeroShot,meta-llama,Llama-3.1-70B-Instruct,dev,24.12
disordered_section,ZeroShot,meta-llama,Llama-3.1-70B-Instruct,test,31.29
disordered_section,ZeroShot,meta-llama,Llama-3.2-3B-Instruct,dev,20
disordered_section,ZeroShot,meta-llama,Llama-3.2-3B-Instruct,test,26.99
disordered_section,ZeroShot,meta-llama,Llama-3.1-405B-Instruct,dev,16.47
disordered_section,ZeroShot,meta-llama,Llama-3.1-405B-Instruct,test,19.02
disordered_section,ZeroShot,internlm,internlm2_5-7b-chat,dev,2.35
disordered_section,ZeroShot,internlm,internlm2_5-7b-chat,test,2.76
disordered_section,ZeroShot,microsoft,Phi-3.5-mini-instruct,dev,6.47
disordered_section,ZeroShot,microsoft,Phi-3.5-mini-instruct,test,7.06
disordered_section,ZeroShot,Qwen,Qwen2.5-32B-Instruct,dev,2.35
disordered_section,ZeroShot,Qwen,Qwen2.5-32B-Instruct,test,2.76
disordered_section,ZeroShot,Qwen,Qwen2.5-72B-Instruct,dev,12.94
disordered_section,ZeroShot,Qwen,Qwen2.5-72B-Instruct,test,9.51
disordered_section,ZeroShot,Qwen,Qwen2.5-7B-Instruct,dev,24.12
disordered_section,ZeroShot,Qwen,Qwen2.5-7B-Instruct,test,26.38
contextual_qa,ZeroShot,baichuan-inc,Baichuan-7B,dev,0
contextual_qa,ZeroShot,baichuan-inc,Baichuan-7B,test,0
contextual_qa,ZeroShot,openai,gpt-4-turbo,dev,17.97
contextual_qa,ZeroShot,openai,gpt-4-turbo,test,14.83
contextual_qa,ZeroShot,THUDM,glm-4-9b-chat,dev,18.88
contextual_qa,ZeroShot,THUDM,glm-4-9b-chat,test,19.02
contextual_qa,ZeroShot,01-ai,Yi-1.5-9B-Chat,dev,10.77
contextual_qa,ZeroShot,01-ai,Yi-1.5-9B-Chat,test,6.64
contextual_qa,ZeroShot,mistralai,Mistral-7B-Instruct-v0.3,test,12.72
contextual_qa,ZeroShot,mistralai,Mistral-7B-Instruct-v0.3,dev,16.4
contextual_qa,ZeroShot,deepseek,deepseek-v3,test,30.34
contextual_qa,ZeroShot,deepseek,deepseek-v3,dev,24.88
contextual_qa,ZeroShot,meta-llama,Llama-3.2-3B-Instruct,dev,8.9
contextual_qa,ZeroShot,meta-llama,Llama-3.2-3B-Instruct,test,12.07
contextual_qa,ZeroShot,meta-llama,Meta-Llama-3.1-8B-Instruct,dev,9.64
