SubTask,Balance,Difficulty,ExampleType,InputMode,ModelFamily,ModelName,Accuracy
postfix_traversal,unbalanced,medium,ZeroShot,edge,baichuan-inc,Baichuan-7B,0
postfix_traversal,unbalanced,medium,ZeroShot,hierarchy,baichuan-inc,Baichuan-7B,0
postfix_traversal,balanced,medium,ZeroShot,edge,baichuan-inc,Baichuan-7B,0
postfix_traversal,unbalanced,easy,ZeroShot,hierarchy,baichuan-inc,Baichuan-7B,0
postfix_traversal,unbalanced,hard,ZeroShot,edge,baichuan-inc,Baichuan-7B,0
postfix_traversal,balanced,easy,ZeroShot,hierarchy,baichuan-inc,Baichuan-7B,0
postfix_traversal,balanced,medium,ZeroShot,hierarchy,baichuan-inc,Baichuan-7B,0
postfix_traversal,balanced,easy,ZeroShot,edge,baichuan-inc,Baichuan-7B,0
postfix_traversal,unbalanced,easy,ZeroShot,edge,baichuan-inc,Baichuan-7B,0
postfix_traversal,balanced,hard,ZeroShot,edge,baichuan-inc,Baichuan-7B,0
postfix_traversal,unbalanced,hard,FewShot,edge,THUDM,glm-4-9b-chat,0
postfix_traversal,balanced,easy,OneShot,hierarchy,THUDM,glm-4-9b-chat,37.5
postfix_traversal,balanced,medium,FewShot,hierarchy,THUDM,glm-4-9b-chat,7.41
postfix_traversal,unbalanced,easy,ZeroShot,hierarchy,THUDM,glm-4-9b-chat,83.33
postfix_traversal,unbalanced,medium,FewShot,hierarchy,THUDM,glm-4-9b-chat,18.52
postfix_traversal,unbalanced,hard,ZeroShot,hierarchy,THUDM,glm-4-9b-chat,16.67
postfix_traversal,balanced,medium,OneShot,edge,THUDM,glm-4-9b-chat,7.41
postfix_traversal,unbalanced,medium,FewShot,edge,THUDM,glm-4-9b-chat,18.52
postfix_traversal,balanced,hard,ZeroShot,hierarchy,THUDM,glm-4-9b-chat,0
postfix_traversal,unbalanced,easy,OneShot,hierarchy,THUDM,glm-4-9b-chat,20.83
postfix_traversal,balanced,hard,OneShot,hierarchy,THUDM,glm-4-9b-chat,0
postfix_traversal,balanced,easy,OneShot,edge,THUDM,glm-4-9b-chat,41.67
postfix_traversal,unbalanced,medium,OneShot,edge,THUDM,glm-4-9b-chat,3.7
postfix_traversal,unbalanced,hard,ZeroShot,edge,THUDM,glm-4-9b-chat,0
postfix_traversal,unbalanced,medium,OneShot,hierarchy,THUDM,glm-4-9b-chat,18.52
postfix_traversal,balanced,medium,OneShot,hierarchy,THUDM,glm-4-9b-chat,7.41
postfix_traversal,unbalanced,easy,FewShot,hierarchy,THUDM,glm-4-9b-chat,54.17
postfix_traversal,unbalanced,easy,OneShot,edge,THUDM,glm-4-9b-chat,16.67
postfix_traversal,balanced,easy,ZeroShot,edge,THUDM,glm-4-9b-chat,70.83
postfix_traversal,unbalanced,easy,FewShot,edge,THUDM,glm-4-9b-chat,50
postfix_traversal,balanced,easy,FewShot,hierarchy,THUDM,glm-4-9b-chat,75
postfix_traversal,unbalanced,hard,OneShot,hierarchy,THUDM,glm-4-9b-chat,5.56
postfix_traversal,balanced,easy,FewShot,edge,THUDM,glm-4-9b-chat,66.67
postfix_traversal,balanced,hard,OneShot,edge,THUDM,glm-4-9b-chat,0
postfix_traversal,unbalanced,medium,ZeroShot,hierarchy,THUDM,glm-4-9b-chat,40.74
postfix_traversal,balanced,hard,FewShot,hierarchy,THUDM,glm-4-9b-chat,0
postfix_traversal,unbalanced,easy,ZeroShot,edge,THUDM,glm-4-9b-chat,70.83
postfix_traversal,balanced,hard,ZeroShot,edge,THUDM,glm-4-9b-chat,0
postfix_traversal,balanced,medium,ZeroShot,edge,THUDM,glm-4-9b-chat,14.81
postfix_traversal,unbalanced,medium,ZeroShot,edge,THUDM,glm-4-9b-chat,55.56
postfix_traversal,balanced,medium,ZeroShot,hierarchy,THUDM,glm-4-9b-chat,22.22
postfix_traversal,unbalanced,hard,OneShot,edge,THUDM,glm-4-9b-chat,5.56
postfix_traversal,unbalanced,hard,FewShot,hierarchy,THUDM,glm-4-9b-chat,11.11
postfix_traversal,balanced,medium,FewShot,edge,THUDM,glm-4-9b-chat,14.81
postfix_traversal,balanced,hard,FewShot,edge,THUDM,glm-4-9b-chat,0
postfix_traversal,balanced,easy,ZeroShot,hierarchy,THUDM,glm-4-9b-chat,83.33
postfix_traversal,balanced,hard,ZeroShot,edge,01-ai,Yi-1.5-9B-Chat,0
postfix_traversal,unbalanced,easy,ZeroShot,edge,01-ai,Yi-1.5-9B-Chat,87.5
postfix_traversal,unbalanced,hard,ZeroShot,hierarchy,01-ai,Yi-1.5-9B-Chat,0
postfix_traversal,unbalanced,hard,ZeroShot,edge,01-ai,Yi-1.5-9B-Chat,0
postfix_traversal,unbalanced,medium,ZeroShot,edge,01-ai,Yi-1.5-9B-Chat,18.52
postfix_traversal,balanced,medium,ZeroShot,edge,01-ai,Yi-1.5-9B-Chat,3.7
postfix_traversal,unbalanced,easy,ZeroShot,hierarchy,01-ai,Yi-1.5-9B-Chat,87.5
postfix_traversal,unbalanced,medium,ZeroShot,hierarchy,01-ai,Yi-1.5-9B-Chat,40.74
postfix_traversal,balanced,easy,ZeroShot,edge,01-ai,Yi-1.5-9B-Chat,70.83
postfix_traversal,balanced,medium,ZeroShot,hierarchy,01-ai,Yi-1.5-9B-Chat,25.93
postfix_traversal,balanced,hard,ZeroShot,hierarchy,01-ai,Yi-1.5-9B-Chat,0
postfix_traversal,balanced,easy,ZeroShot,hierarchy,01-ai,Yi-1.5-9B-Chat,79.17
postfix_traversal,balanced,medium,ZeroShot,edge,mistralai,Mistral-7B-Instruct-v0.3,3.7
postfix_traversal,unbalanced,medium,ZeroShot,edge,mistralai,Mistral-7B-Instruct-v0.3,14.81
postfix_traversal,balanced,hard,ZeroShot,edge,mistralai,Mistral-7B-Instruct-v0.3,0
postfix_traversal,balanced,hard,ZeroShot,hierarchy,mistralai,Mistral-7B-Instruct-v0.3,0
postfix_traversal,balanced,medium,ZeroShot,hierarchy,mistralai,Mistral-7B-Instruct-v0.3,0
postfix_traversal,unbalanced,easy,ZeroShot,edge,mistralai,Mistral-7B-Instruct-v0.3,75
postfix_traversal,unbalanced,hard,ZeroShot,hierarchy,mistralai,Mistral-7B-Instruct-v0.3,0
postfix_traversal,balanced,easy,ZeroShot,edge,mistralai,Mistral-7B-Instruct-v0.3,54.17
postfix_traversal,unbalanced,easy,ZeroShot,hierarchy,mistralai,Mistral-7B-Instruct-v0.3,62.5
postfix_traversal,unbalanced,hard,ZeroShot,edge,mistralai,Mistral-7B-Instruct-v0.3,0
postfix_traversal,unbalanced,medium,ZeroShot,hierarchy,mistralai,Mistral-7B-Instruct-v0.3,25.93
postfix_traversal,balanced,easy,ZeroShot,hierarchy,mistralai,Mistral-7B-Instruct-v0.3,50
postfix_traversal,balanced,hard,FewShot,edge,openai,gpt-4-turbo,0
postfix_traversal,unbalanced,medium,ZeroShot,hierarchy,openai,gpt-4-turbo,96.3
postfix_traversal,balanced,medium,OneShot,hierarchy,openai,gpt-4-turbo,66.67
postfix_traversal,balanced,hard,ZeroShot,hierarchy,openai,gpt-4-turbo,0
postfix_traversal,unbalanced,hard,FewShot,edge,openai,gpt-4-turbo,16.67
postfix_traversal,unbalanced,medium,ZeroShot,edge,openai,gpt-4-turbo,81.48
postfix_traversal,unbalanced,easy,FewShot,hierarchy,openai,gpt-4-turbo,95.83
postfix_traversal,balanced,easy,ZeroShot,hierarchy,openai,gpt-4-turbo,100
postfix_traversal,balanced,hard,OneShot,edge,openai,gpt-4-turbo,0
postfix_traversal,balanced,easy,FewShot,edge,openai,gpt-4-turbo,100
postfix_traversal,unbalanced,hard,ZeroShot,edge,openai,gpt-4-turbo,16.67
postfix_traversal,balanced,medium,ZeroShot,edge,openai,gpt-4-turbo,44.44
postfix_traversal,balanced,easy,OneShot,hierarchy,openai,gpt-4-turbo,100
postfix_traversal,balanced,hard,OneShot,hierarchy,openai,gpt-4-turbo,0
postfix_traversal,unbalanced,medium,OneShot,hierarchy,openai,gpt-4-turbo,92.59
postfix_traversal,unbalanced,hard,FewShot,hierarchy,openai,gpt-4-turbo,27.78
postfix_traversal,balanced,easy,OneShot,edge,openai,gpt-4-turbo,95.83
postfix_traversal,unbalanced,easy,OneShot,hierarchy,openai,gpt-4-turbo,100
postfix_traversal,balanced,medium,ZeroShot,hierarchy,openai,gpt-4-turbo,62.96
postfix_traversal,balanced,medium,OneShot,edge,openai,gpt-4-turbo,51.85
postfix_traversal,unbalanced,easy,OneShot,edge,openai,gpt-4-turbo,95.83
postfix_traversal,balanced,medium,FewShot,edge,openai,gpt-4-turbo,59.26
postfix_traversal,unbalanced,easy,ZeroShot,hierarchy,openai,gpt-4-turbo,100
postfix_traversal,unbalanced,medium,FewShot,edge,openai,gpt-4-turbo,66.67
postfix_traversal,unbalanced,hard,OneShot,edge,openai,gpt-4-turbo,16.67
postfix_traversal,unbalanced,easy,ZeroShot,edge,openai,gpt-4-turbo,100
postfix_traversal,unbalanced,hard,ZeroShot,hierarchy,openai,gpt-4-turbo,22.22
postfix_traversal,balanced,medium,FewShot,hierarchy,openai,gpt-4-turbo,70.37
postfix_traversal,unbalanced,medium,OneShot,edge,openai,gpt-4-turbo,81.48
postfix_traversal,unbalanced,easy,FewShot,edge,openai,gpt-4-turbo,100
postfix_traversal,balanced,hard,FewShot,hierarchy,openai,gpt-4-turbo,0
postfix_traversal,balanced,easy,ZeroShot,edge,openai,gpt-4-turbo,100
postfix_traversal,unbalanced,medium,FewShot,hierarchy,openai,gpt-4-turbo,100
postfix_traversal,balanced,hard,ZeroShot,edge,openai,gpt-4-turbo,0
postfix_traversal,balanced,easy,FewShot,hierarchy,openai,gpt-4-turbo,100
postfix_traversal,unbalanced,hard,OneShot,hierarchy,openai,gpt-4-turbo,22.22
postfix_traversal,unbalanced,easy,ZeroShot,edge,deepseek,deepseek-v3,100
postfix_traversal,balanced,medium,ZeroShot,hierarchy,deepseek,deepseek-v3,92.59
postfix_traversal,unbalanced,medium,ZeroShot,hierarchy,deepseek,deepseek-v3,100
postfix_traversal,balanced,easy,ZeroShot,hierarchy,deepseek,deepseek-v3,100
postfix_traversal,unbalanced,hard,ZeroShot,hierarchy,deepseek,deepseek-v3,50
postfix_traversal,balanced,hard,ZeroShot,hierarchy,deepseek,deepseek-v3,44.44
postfix_traversal,balanced,medium,ZeroShot,edge,deepseek,deepseek-v3,81.48
postfix_traversal,unbalanced,hard,ZeroShot,edge,deepseek,deepseek-v3,27.78
postfix_traversal,balanced,hard,ZeroShot,edge,deepseek,deepseek-v3,16.67
postfix_traversal,unbalanced,easy,ZeroShot,hierarchy,deepseek,deepseek-v3,100
postfix_traversal,unbalanced,medium,ZeroShot,edge,deepseek,deepseek-v3,96.3
postfix_traversal,balanced,easy,ZeroShot,edge,deepseek,deepseek-v3,100
postfix_traversal,unbalanced,medium,FewShot,edge,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,unbalanced,easy,FewShot,edge,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,unbalanced,hard,OneShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,unbalanced,easy,FewShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,balanced,hard,OneShot,edge,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,balanced,hard,OneShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,balanced,easy,ZeroShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,unbalanced,hard,FewShot,edge,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,balanced,medium,FewShot,edge,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,balanced,easy,FewShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,balanced,medium,FewShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,unbalanced,medium,ZeroShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,7.41
postfix_traversal,balanced,easy,OneShot,edge,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,unbalanced,medium,OneShot,edge,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,balanced,hard,ZeroShot,edge,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,balanced,easy,FewShot,edge,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,balanced,medium,OneShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,0
postfix_traversal,unbalanced,hard,ZeroShot,hierarchy,meta-llama,Llama-3.2-1B-Instruct,0
