SubTask,Difficulty,ExampleType,InputMode,ModelFamily,ModelName,Accuracy
leaf,easy,ZeroShot,hierarchy,baichuan-inc,Baichuan-7B,21.21
leaf,medium,ZeroShot,edge,baichuan-inc,Baichuan-7B,4.17
leaf,hard,ZeroShot,edge,baichuan-inc,Baichuan-7B,0
leaf,hard,ZeroShot,hierarchy,baichuan-inc,Baichuan-7B,16.67
leaf,medium,ZeroShot,hierarchy,baichuan-inc,Baichuan-7B,19.44
leaf,easy,ZeroShot,edge,baichuan-inc,Baichuan-7B,0
leaf,easy,ZeroShot,edge,THUDM,glm-4-9b-chat,78.79
leaf,hard,ZeroShot,hierarchy,THUDM,glm-4-9b-chat,76.39
leaf,hard,FewShot,hierarchy,THUDM,glm-4-9b-chat,63.89
leaf,medium,FewShot,edge,THUDM,glm-4-9b-chat,65.28
leaf,easy,FewShot,hierarchy,THUDM,glm-4-9b-chat,57.58
leaf,medium,ZeroShot,hierarchy,THUDM,glm-4-9b-chat,84.72
leaf,hard,OneShot,hierarchy,THUDM,glm-4-9b-chat,65.28
leaf,medium,OneShot,hierarchy,THUDM,glm-4-9b-chat,68.06
leaf,easy,OneShot,edge,THUDM,glm-4-9b-chat,54.55
leaf,easy,FewShot,edge,THUDM,glm-4-9b-chat,57.58
leaf,medium,FewShot,hierarchy,THUDM,glm-4-9b-chat,65.28
leaf,medium,OneShot,edge,THUDM,glm-4-9b-chat,59.72
leaf,easy,OneShot,hierarchy,THUDM,glm-4-9b-chat,57.58
leaf,hard,ZeroShot,edge,THUDM,glm-4-9b-chat,75
leaf,hard,OneShot,edge,THUDM,glm-4-9b-chat,61.11
leaf,easy,ZeroShot,hierarchy,THUDM,glm-4-9b-chat,87.88
leaf,hard,FewShot,edge,THUDM,glm-4-9b-chat,66.67
leaf,medium,ZeroShot,edge,THUDM,glm-4-9b-chat,84.72
leaf,easy,ZeroShot,hierarchy,01-ai,Yi-1.5-9B-Chat,66.67
leaf,hard,ZeroShot,hierarchy,01-ai,Yi-1.5-9B-Chat,45.83
leaf,medium,ZeroShot,edge,01-ai,Yi-1.5-9B-Chat,63.89
leaf,hard,ZeroShot,edge,01-ai,Yi-1.5-9B-Chat,50
leaf,medium,ZeroShot,hierarchy,01-ai,Yi-1.5-9B-Chat,54.17
leaf,easy,ZeroShot,edge,01-ai,Yi-1.5-9B-Chat,66.67
