SubTask,ExampleType,Format,Length,ModelFamily,ModelName,Symbol,Value,Accuracy
convert,ZeroShot,format1_infix_format2_postfix,medium,baichuan-inc,Baichuan-7B,easy,easy,0
convert,ZeroShot,format1_postfix_format2_infix,hard,baichuan-inc,Baichuan-7B,hard,hard,0
convert,ZeroShot,format1_prefix_format2_postfix,medium,baichuan-inc,Baichuan-7B,hard,hard,0
convert,ZeroShot,format1_prefix_format2_infix,hard,baichuan-inc,Baichuan-7B,medium,easy,0
convert,ZeroShot,format1_infix_format2_postfix,hard,baichuan-inc,Baichuan-7B,easy,hard,0
convert,ZeroShot,format1_infix_format2_prefix,medium,baichuan-inc,Baichuan-7B,easy,medium,0
convert,ZeroShot,format1_infix_format2_postfix,medium,baichuan-inc,Baichuan-7B,easy,medium,0
convert,ZeroShot,format1_postfix_format2_prefix,easy,baichuan-inc,Baichuan-7B,medium,hard,0
convert,ZeroShot,format1_infix_format2_prefix,hard,baichuan-inc,Baichuan-7B,easy,easy,0
convert,ZeroShot,format1_prefix_format2_postfix,easy,baichuan-inc,Baichuan-7B,medium,hard,0
convert,ZeroShot,format1_prefix_format2_infix,medium,baichuan-inc,Baichuan-7B,medium,hard,0
convert,ZeroShot,format1_prefix_format2_postfix,hard,baichuan-inc,Baichuan-7B,medium,easy,0
convert,ZeroShot,format1_infix_format2_prefix,easy,baichuan-inc,Baichuan-7B,hard,medium,0
convert,ZeroShot,format1_postfix_format2_infix,medium,baichuan-inc,Baichuan-7B,hard,medium,0
convert,ZeroShot,format1_postfix_format2_infix,hard,baichuan-inc,Baichuan-7B,hard,easy,0
convert,ZeroShot,format1_infix_format2_postfix,hard,baichuan-inc,Baichuan-7B,medium,medium,0
convert,ZeroShot,format1_infix_format2_prefix,hard,baichuan-inc,Baichuan-7B,hard,medium,0
convert,ZeroShot,format1_infix_format2_postfix,easy,baichuan-inc,Baichuan-7B,medium,easy,0
convert,ZeroShot,format1_postfix_format2_infix,easy,baichuan-inc,Baichuan-7B,hard,easy,0
convert,ZeroShot,format1_postfix_format2_prefix,hard,baichuan-inc,Baichuan-7B,hard,hard,0
convert,ZeroShot,format1_prefix_format2_infix,medium,baichuan-inc,Baichuan-7B,hard,hard,0
convert,ZeroShot,format1_postfix_format2_infix,easy,baichuan-inc,Baichuan-7B,easy,hard,0
convert,ZeroShot,format1_prefix_format2_postfix,easy,baichuan-inc,Baichuan-7B,easy,easy,0
convert,ZeroShot,format1_prefix_format2_postfix,easy,baichuan-inc,Baichuan-7B,medium,easy,0
convert,ZeroShot,format1_postfix_format2_infix,hard,baichuan-inc,Baichuan-7B,medium,hard,0
convert,ZeroShot,format1_infix_format2_prefix,easy,baichuan-inc,Baichuan-7B,medium,hard,0
convert,ZeroShot,format1_prefix_format2_postfix,medium,baichuan-inc,Baichuan-7B,easy,hard,0
convert,ZeroShot,format1_infix_format2_prefix,hard,baichuan-inc,Baichuan-7B,medium,hard,0
convert,ZeroShot,format1_prefix_format2_postfix,medium,baichuan-inc,Baichuan-7B,medium,hard,0
convert,ZeroShot,format1_infix_format2_postfix,medium,baichuan-inc,Baichuan-7B,easy,hard,0
convert,ZeroShot,format1_prefix_format2_postfix,medium,baichuan-inc,Baichuan-7B,medium,medium,0
convert,ZeroShot,format1_infix_format2_prefix,easy,baichuan-inc,Baichuan-7B,medium,easy,0
convert,ZeroShot,format1_postfix_format2_prefix,medium,baichuan-inc,Baichuan-7B,hard,easy,0
convert,ZeroShot,format1_prefix_format2_postfix,hard,baichuan-inc,Baichuan-7B,easy,medium,0
convert,ZeroShot,format1_prefix_format2_postfix,easy,baichuan-inc,Baichuan-7B,medium,medium,0
convert,ZeroShot,format1_infix_format2_prefix,easy,baichuan-inc,Baichuan-7B,hard,hard,0
convert,ZeroShot,format1_infix_format2_prefix,hard,baichuan-inc,Baichuan-7B,easy,medium,0
convert,ZeroShot,format1_postfix_format2_prefix,medium,baichuan-inc,Baichuan-7B,medium,medium,0
convert,ZeroShot,format1_infix_format2_postfix,easy,baichuan-inc,Baichuan-7B,hard,medium,0
convert,ZeroShot,format1_infix_format2_prefix,medium,baichuan-inc,Baichuan-7B,hard,easy,0
convert,ZeroShot,format1_infix_format2_prefix,easy,baichuan-inc,Baichuan-7B,easy,easy,0
convert,ZeroShot,format1_postfix_format2_infix,easy,baichuan-inc,Baichuan-7B,easy,medium,0
convert,ZeroShot,format1_postfix_format2_prefix,easy,baichuan-inc,Baichuan-7B,easy,medium,0
convert,ZeroShot,format1_infix_format2_prefix,medium,baichuan-inc,Baichuan-7B,hard,hard,0
convert,ZeroShot,format1_postfix_format2_prefix,easy,baichuan-inc,Baichuan-7B,hard,medium,0
convert,ZeroShot,format1_postfix_format2_prefix,easy,baichuan-inc,Baichuan-7B,hard,easy,0
convert,ZeroShot,format1_infix_format2_prefix,easy,baichuan-inc,Baichuan-7B,easy,medium,0
convert,ZeroShot,format1_postfix_format2_infix,hard,baichuan-inc,Baichuan-7B,medium,easy,0
convert,ZeroShot,format1_postfix_format2_prefix,medium,baichuan-inc,Baichuan-7B,easy,hard,0
convert,ZeroShot,format1_infix_format2_prefix,easy,baichuan-inc,Baichuan-7B,hard,easy,0
convert,ZeroShot,format1_prefix_format2_postfix,easy,baichuan-inc,Baichuan-7B,easy,medium,0
convert,ZeroShot,format1_prefix_format2_infix,easy,baichuan-inc,Baichuan-7B,easy,easy,0
convert,ZeroShot,format1_infix_format2_prefix,medium,baichuan-inc,Baichuan-7B,hard,medium,0
convert,ZeroShot,format1_prefix_format2_infix,easy,baichuan-inc,Baichuan-7B,easy,medium,0
convert,ZeroShot,format1_infix_format2_prefix,hard,baichuan-inc,Baichuan-7B,hard,easy,0
convert,ZeroShot,format1_postfix_format2_prefix,medium,baichuan-inc,Baichuan-7B,medium,hard,0
convert,ZeroShot,format1_prefix_format2_postfix,medium,baichuan-inc,Baichuan-7B,easy,medium,0
convert,ZeroShot,format1_postfix_format2_infix,easy,baichuan-inc,Baichuan-7B,medium,hard,0
convert,ZeroShot,format1_infix_format2_prefix,hard,baichuan-inc,Baichuan-7B,hard,hard,0
convert,ZeroShot,format1_postfix_format2_prefix,easy,baichuan-inc,Baichuan-7B,hard,hard,0
convert,ZeroShot,format1_infix_format2_postfix,medium,baichuan-inc,Baichuan-7B,hard,medium,0
convert,ZeroShot,format1_prefix_format2_infix,medium,baichuan-inc,Baichuan-7B,medium,medium,0
convert,ZeroShot,format1_postfix_format2_infix,easy,baichuan-inc,Baichuan-7B,easy,easy,0
convert,ZeroShot,format1_postfix_format2_prefix,hard,baichuan-inc,Baichuan-7B,hard,easy,0
convert,ZeroShot,format1_prefix_format2_infix,easy,baichuan-inc,Baichuan-7B,medium,easy,0
convert,ZeroShot,format1_infix_format2_postfix,medium,baichuan-inc,Baichuan-7B,hard,hard,0
convert,ZeroShot,format1_postfix_format2_prefix,easy,baichuan-inc,Baichuan-7B,easy,easy,0
convert,ZeroShot,format1_prefix_format2_infix,hard,baichuan-inc,Baichuan-7B,easy,medium,0
convert,ZeroShot,format1_postfix_format2_infix,easy,baichuan-inc,Baichuan-7B,medium,easy,0
convert,ZeroShot,format1_prefix_format2_infix,easy,baichuan-inc,Baichuan-7B,medium,medium,0
convert,ZeroShot,format1_prefix_format2_infix,hard,baichuan-inc,Baichuan-7B,hard,medium,0
convert,ZeroShot,format1_prefix_format2_postfix,medium,baichuan-inc,Baichuan-7B,easy,easy,0
convert,ZeroShot,format1_postfix_format2_prefix,medium,baichuan-inc,Baichuan-7B,easy,easy,0
convert,ZeroShot,format1_infix_format2_postfix,medium,baichuan-inc,Baichuan-7B,medium,hard,0
convert,ZeroShot,format1_postfix_format2_prefix,easy,baichuan-inc,Baichuan-7B,medium,medium,0
convert,ZeroShot,format1_infix_format2_postfix,hard,baichuan-inc,Baichuan-7B,hard,medium,0
convert,ZeroShot,format1_prefix_format2_postfix,hard,baichuan-inc,Baichuan-7B,hard,medium,0
convert,ZeroShot,format1_postfix_format2_infix,hard,baichuan-inc,Baichuan-7B,hard,medium,0
convert,ZeroShot,format1_prefix_format2_postfix,easy,baichuan-inc,Baichuan-7B,hard,easy,0
convert,ZeroShot,format1_postfix_format2_infix,easy,baichuan-inc,Baichuan-7B,hard,medium,0
convert,ZeroShot,format1_postfix_format2_prefix,hard,baichuan-inc,Baichuan-7B,medium,easy,0
convert,ZeroShot,format1_postfix_format2_infix,hard,baichuan-inc,Baichuan-7B,easy,hard,0
convert,ZeroShot,format1_infix_format2_prefix,easy,baichuan-inc,Baichuan-7B,medium,medium,0
convert,ZeroShot,format1_postfix_format2_prefix,medium,baichuan-inc,Baichuan-7B,medium,easy,0
convert,ZeroShot,format1_prefix_format2_infix,medium,baichuan-inc,Baichuan-7B,medium,easy,0
convert,ZeroShot,format1_infix_format2_postfix,easy,baichuan-inc,Baichuan-7B,easy,hard,0
convert,ZeroShot,format1_postfix_format2_infix,easy,baichuan-inc,Baichuan-7B,hard,hard,0
convert,ZeroShot,format1_postfix_format2_prefix,hard,baichuan-inc,Baichuan-7B,medium,hard,0
convert,ZeroShot,format1_postfix_format2_prefix,medium,baichuan-inc,Baichuan-7B,hard,hard,0
convert,ZeroShot,format1_postfix_format2_infix,medium,baichuan-inc,Baichuan-7B,medium,medium,0
convert,ZeroShot,format1_prefix_format2_infix,medium,baichuan-inc,Baichuan-7B,easy,hard,0
convert,ZeroShot,format1_postfix_format2_prefix,medium,baichuan-inc,Baichuan-7B,easy,medium,0
convert,ZeroShot,format1_prefix_format2_infix,medium,baichuan-inc,Baichuan-7B,hard,medium,0
convert,ZeroShot,format1_prefix_format2_infix,easy,baichuan-inc,Baichuan-7B,hard,easy,0
convert,ZeroShot,format1_infix_format2_postfix,easy,baichuan-inc,Baichuan-7B,medium,hard,0
convert,ZeroShot,format1_infix_format2_prefix,easy,baichuan-inc,Baichuan-7B,easy,hard,0
convert,ZeroShot,format1_prefix_format2_infix,hard,baichuan-inc,Baichuan-7B,hard,easy,0
