SubTask,ModelFamily,ModelName,Mode,Difficulty,ExampleType,Accuracy
shared_ancestor_diff_level,baichuan-inc,Baichuan-7B,bullshit,large-2,ZeroShot,0
shared_ancestor_diff_level,baichuan-inc,Baichuan-7B,bullshit,medium-2,ZeroShot,0
shared_ancestor_diff_level,baichuan-inc,Baichuan-7B,bullshit,small,ZeroShot,0
shared_ancestor_diff_level,baichuan-inc,Baichuan-7B,,medium-2,ZeroShot,0
shared_ancestor_diff_level,baichuan-inc,Baichuan-7B,bullshit,large-1,ZeroShot,0
shared_ancestor_diff_level,baichuan-inc,Baichuan-7B,,medium-1,ZeroShot,0
shared_ancestor_diff_level,baichuan-inc,Baichuan-7B,,small,ZeroShot,0
shared_ancestor_diff_level,baichuan-inc,Baichuan-7B,bullshit,medium-1,ZeroShot,0
shared_ancestor_diff_level,baichuan-inc,Baichuan-7B,,large-2,ZeroShot,0
shared_ancestor_diff_level,baichuan-inc,Baichuan-7B,,large-1,ZeroShot,0
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,bullshit,medium-2,FewShot,7.69
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,bullshit,large-2,FewShot,61.54
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,,large-1,OneShot,7.69
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,bullshit,medium-1,FewShot,30.77
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,bullshit,small,ZeroShot,15.38
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,bullshit,medium-2,OneShot,0
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,,medium-1,ZeroShot,7.69
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,,medium-2,ZeroShot,23.08
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,,large-2,ZeroShot,7.69
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,,large-1,FewShot,30.77
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,,medium-2,FewShot,38.46
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,bullshit,medium-1,OneShot,0
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,,medium-1,OneShot,30.77
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,bullshit,large-2,OneShot,0
shared_ancestor_diff_level,THUDM,glm-4-9b-chat,,small,OneShot,23.08
