SubTask,Difficulty,ExampleType,InputMode,ModelName,Accuracy
leaf,medium,ZeroShot,hierarchy,QwQ-32B,90.28
leaf,hard,ZeroShot,hierarchy,QwQ-32B,80.56
leaf,hard,ZeroShot,edge,QwQ-32B,77.78
leaf,easy,ZeroShot,hierarchy,QwQ-32B,78.79
leaf,easy,ZeroShot,edge,QwQ-32B,78.79
leaf,medium,ZeroShot,edge,QwQ-32B,87.5
leaf,easy,ZeroShot,edge,Qwen2.5-7B-Instruct,66.67
leaf,medium,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,81.94
leaf,hard,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,77.78
leaf,easy,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,90.91
leaf,hard,ZeroShot,edge,Qwen2.5-7B-Instruct,65.28
leaf,medium,ZeroShot,edge,Qwen2.5-7B-Instruct,55.56
remove_node,hard,ZeroShot,hierarchy,QwQ-32B,9.72
remove_node,hard,ZeroShot,edge,QwQ-32B,30.56
remove_node,easy,ZeroShot,hierarchy,QwQ-32B,18.18
remove_node,easy,ZeroShot,edge,QwQ-32B,33.33
remove_node,medium,ZeroShot,hierarchy,QwQ-32B,8.33
remove_node,medium,ZeroShot,edge,QwQ-32B,33.33
remove_node,medium,ZeroShot,edge,Qwen2.5-7B-Instruct,40.28
remove_node,hard,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,36.11
remove_node,hard,ZeroShot,edge,Qwen2.5-7B-Instruct,29.17
remove_node,easy,ZeroShot,edge,Qwen2.5-7B-Instruct,45.45
remove_node,easy,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,57.58
remove_node,medium,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,58.33
all_children,hard,ZeroShot,edge,QwQ-32B,54.17
all_children,hard,ZeroShot,hierarchy,QwQ-32B,59.72
all_children,medium,ZeroShot,hierarchy,QwQ-32B,47.22
all_children,easy,ZeroShot,edge,QwQ-32B,66.67
all_children,easy,ZeroShot,hierarchy,QwQ-32B,69.7
all_children,medium,ZeroShot,edge,QwQ-32B,59.72
all_children,easy,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,87.88
all_children,easy,ZeroShot,edge,Qwen2.5-7B-Instruct,90.91
all_children,hard,ZeroShot,hierarchy,Qwen2.5-7B-Instruct,63.89
all_children,medium,ZeroShot,edge,Qwen2.5-7B-Instruct,77.78
